time,flux
1266.844428,1.000135176
1266.864863,0.999869651
1266.885297,1.000007271
1266.905731,1.000076528
1266.926166,1.000047681
1266.9466,0.999848314
1266.967034,0.999956968
1266.987469,0.999845573
1267.007903,1.00020181
1267.028337,1.000105614
1267.048772,0.99994469
1267.069206,1.000067707
1267.08964,1.000067588
1267.110075,0.999929134
1267.130509,1.00005531
1267.150943,1.000077125
1267.171378,1.000089284
1267.191812,1.000069139
1267.212246,0.999979974
1267.232681,1.000219098
1267.253115,0.999969126
1267.314418,1.000091668
1267.334852,0.999846286
1267.355287,0.999962748
1267.375721,1.00002551
1267.396155,0.999820596
1267.41659,0.999819284
1267.437024,0.999875728
1267.457458,0.999868515
1267.477893,0.9999038
1267.498327,0.999901356
1267.518761,0.99987686
1267.539196,0.999878707
1267.55963,0.999990583
1267.580064,1.000042676
1267.600499,1.00014889
1267.620933,0.999767723
1267.641367,0.999908567
1267.661802,1.000123084
1267.682236,0.999902248
1267.70267,0.999986827
1267.723105,1.00012815
1267.743539,0.999948025
1267.763973,1.000184775
1267.784408,1.000042379
1267.804842,0.999911666
1267.825276,1.000019312
1267.845711,1.000020504
1267.866145,1.000264586
1267.886579,0.999959111
1267.907014,0.999992907
1267.927448,1.00012815
1267.947882,0.999986947
1267.968317,1.000125885
1267.988751,0.999920428
1268.009185,1.000358998
1268.029619,1.000187277
1268.050054,0.999828577
1268.070488,0.999846995
1268.090922,0.999955058
1268.111357,1.000135421
1268.131791,0.999930978
1268.152225,1.00005269
1268.17266,1.000088452
1268.193094,0.999987602
1268.213528,1.000194666
1268.233963,1.000095366
1268.254397,1.000230189
1268.274831,1.000098703
1268.295266,0.999973953
1268.3157,1.000008344
1268.336135,0.999815946
1268.356569,0.999821549
1268.377003,0.999853556
1268.397437,1.000129219
1268.417872,0.99992645
1268.438306,0.999937537
1268.45874,1.000013232
1268.479175,0.99992663
1268.520043,1.00002396
1268.540478,1
1268.560912,0.999820003
1268.581346,0.99981911
1268.601781,0.999921863
1268.622215,0.999947313
1268.642649,1.000006794
1268.663084,0.999792769
1268.683518,1.000170934
1268.703952,1.000167953
1268.724387,1.000216347
1269.21481,0.999940997
1269.235245,0.999926932
1269.255679,1.000036594
1269.276113,1.000063295
1269.296548,0.999915011
1269.316982,0.999874721
1269.357851,1.000084036
1269.378285,1.000042197
1269.398719,0.999966266
1269.419154,1.000119797
1269.439588,0.999897427
1269.460022,1.000250919
1269.480457,1.000050661
1269.500891,0.999891288
1269.521325,1.000111574
1269.54176,1.000118368
1269.562194,1.000185838
1269.582628,0.99997902
1269.603062,1.000011444
1269.623497,1.000159733
1269.643931,0.999978782
1269.664365,1.000107284
1269.6848,0.999988795
1269.705234,0.999723921
1269.725668,0.999945225
1269.746103,1.000092742
1269.766537,0.999933781
1269.786971,0.999858622
1269.807406,1.00001049
1269.82784,0.999972106
1269.848274,0.999662287
1269.868709,0.999876323
1269.889143,0.999743586
1269.909577,1.000195858
1269.930012,0.99999249
1269.950446,0.999666398
1269.97088,0.999924601
1269.991315,0.999907733
1270.011749,1.000000238
1270.032183,0.999854864
1270.052617,0.999863685
1270.073052,1.000082492
1270.093486,1.000108957
1270.11392,0.99981916
1270.134355,0.999943018
1270.154789,1.000193775
1270.175223,1.000105798
1270.195658,1.00000155
1270.216092,0.999862134
1270.236526,1.000009298
1270.256961,0.999847709
1270.277395,0.99994862
1270.297829,1.000078798
1270.318263,0.999982357
1270.338698,0.999984801
1270.359132,1.000077428
1270.379566,1.000122192
1270.400001,0.999968945
1270.420435,1.000042916
1270.440869,0.999771054
1270.461304,0.999972939
1270.481738,1.000090482
1270.502172,1.000093998
1270.543041,0.999880192
1270.563475,1.000050069
1270.604344,1.000062228
1270.624778,0.999853012
1270.645213,1.000146869
1270.665647,0.999980509
1270.686081,0.999954998
1270.706515,0.999985099
1270.72695,1.000132324
1270.747384,1.000033975
1270.767818,1.000219108
1270.788253,1.000029743
1270.808687,1.000032782
1270.829121,0.999853015
1270.849556,1.000053882
1270.86999,1.000019073
1270.890424,0.999929965
1270.910859,1.000177264
1270.931293,1.000076651
1270.951727,1.000079631
1270.972162,0.999949992
1270.992596,1.000106454
1271.01303,0.999948263
1271.033464,0.999971509
1271.053899,0.999850631
1271.074333,0.999818266
1271.094767,0.999826313
1271.115202,0.999975026
1271.135636,1.00001359
1271.15607,0.999830066
1271.176505,1.000043571
1271.196939,1.000069679
1271.217373,1.000006318
1271.237807,1.000035167
1271.258242,0.99993056
1271.278676,0.999953687
1271.29911,0.999863861
1271.319545,1.0001573
1271.339979,0.999989748
1271.360413,0.999962031
1271.380848,1.000079216
1271.401282,1.000016749
1271.421716,1.0001998
1271.442151,1.000133756
1271.483019,0.999983429
1271.503453,0.999866065
1271.523888,1.000068309
1271.544322,0.999960361
1271.564756,0.999960004
1271.585191,1.000148361
1271.605625,0.99996513
1271.626059,0.999979555
1271.646494,0.999975919
1271.666928,1.000145085
1271.687362,1.000130422
1271.707797,1.000238074
1271.728231,1.00008363
1271.748665,1.000122734
1271.7691,0.999757989
1271.789534,0.999893658
1271.809968,1.000033083
1271.830402,0.999987899
1271.850837,0.999876312
1271.871271,0.999781474
1271.891705,0.999950763
1271.91214,0.999810741
1271.932574,1.000134895
1271.953008,1.00007779
1271.973443,0.99999237
1271.993877,0.999913388
1272.014311,0.999989509
1272.034745,1.000028553
1272.05518,1.000102647
1272.075614,1.000049118
1272.096048,0.999771577
1272.116483,0.999882033
1272.136917,0.999743322
1272.157351,1.0000611
1272.177786,1.000136506
1272.19822,1.000075525
1272.218654,0.999978839
1272.239088,1.000040415
1272.259523,1.000091024
1272.279957,1.00005496
1272.300391,1.000061935
1272.320826,0.999914698
1272.34126,1.000119578
1272.361694,1.000039641
1272.382129,0.999857173
1272.402563,0.999737237
1272.422997,0.999970374
1272.443431,1.000141099
1272.463866,0.999954755
1272.4843,0.999825698
1272.504734,1.000149206
1272.525169,0.99994641
1272.545603,0.999901522
1272.566037,1.000109565
1272.586472,0.999873147
1272.606906,0.999900866
1272.62734,1.000141875
1272.647774,1.000055498
1272.668209,0.999874458
1272.688643,1.000058777
1272.709077,0.999969061
1272.729512,1.000070521
1272.749946,1.000165125
1272.77038,1.000056095
1272.790815,1.000115946
1272.811249,0.999988197
1272.831683,1.000071416
1272.852117,1.000053711
1272.872552,1.000046021
1272.892986,1.000045127
1272.91342,1.000015201
1272.933855,0.999931207
1272.954289,0.99994766
1272.974723,0.999978301
1272.995158,0.999976512
1273.015592,1.00005705
1273.036026,0.999744497
1273.05646,1.000090195
1274.159889,1.000061623
1274.180324,0.999886767
1274.200758,1.000015495
1274.221192,0.999971275
1274.241627,1.000160194
1274.262061,0.999783249
1274.282495,1.000200481
1274.302929,1.000024315
1274.323364,1.00001025
1274.343798,0.999998212
1274.364232,1.000093327
1274.384667,1.000022646
1274.405101,0.99996913
1274.425535,0.999995828
1274.445969,0.999768413
1274.466404,0.999948867
1274.486838,0.999999881
1274.507272,1.000100715
1274.527707,1.000080334
1274.548141,0.999873421
1274.568575,1.000064005
1274.589009,1.000037187
1274.609444,1.000007866
1274.629878,1.000039809
1274.650312,0.999823243
1274.670747,0.999993683
1274.691181,1.000034922
1274.711615,0.9999118
1274.732049,0.999953397
1274.752484,1.000062455
1274.772918,0.999841718
1274.793352,0.999913708
1274.813787,0.999942194
1274.854655,1.000263048
1274.875089,0.999999404
1274.895524,0.999946246
1274.915958,1.000153514
1274.936392,1.000121333
1274.956827,0.999964601
1274.977261,0.999965078
1274.997695,1.00004696
1275.018129,0.999999881
1275.038564,1.000003933
1275.058998,0.999848274
1275.079432,0.999922885
1275.099866,0.99992658
1275.120301,1.000038617
1275.140735,1.000040762
1275.161169,0.999969249
1275.181604,1.000127293
1275.202038,0.999994517
1275.222472,0.999845414
1275.242907,1.000004172
1275.263341,1.000197852
1275.283775,1.000100476
1275.304209,0.999937426
1275.324644,0.999984625
1275.345078,1.000009416
1275.365512,0.999994875
1275.385946,1.000146125
1275.406381,0.999878786
1275.426815,1.0000646
1275.447249,0.999935638
1275.467684,0.999906675
1275.488118,1.000015018
1275.508552,1.000122289
1275.528986,1.000022288
1275.549421,0.99997056
1275.569855,1.000029201
1275.590289,1.000095709
1275.610723,1.000056377
1275.631158,0.999974851
1275.651592,1.000103338
1275.672026,0.999918593
1275.692461,1.000089154
1275.712895,1.000155306
1275.733329,0.999774192
1275.753763,0.999985101
1275.774198,0.999853633
1275.794632,1.000032301
1275.815066,1.000044935
1275.835501,0.999969487
1275.855935,0.999851485
1275.876369,0.999987008
1275.896803,1.000040645
1275.917238,0.999953038
1275.937672,1.000043863
1275.958106,1.000053876
1275.978541,0.999853152
1275.998975,0.999967698
1276.019409,0.999924668
1276.039843,1.000104654
1276.060278,1.000018237
1276.101146,0.999896776
1276.121581,1.00009941
1276.142015,1.000005006
1276.162449,0.999987365
1276.182883,1.000040766
1276.203318,1.000105372
1276.223752,0.999935156
1276.244186,1.000215035
1276.26462,0.9998451
1276.285055,1.000073547
1276.305489,1.000035164
1276.325923,0.999947552
1276.346358,0.999871263
1276.366792,1.000042674
1276.387226,1.000006675
1276.40766,0.999893612
1276.428095,1.000039575
1276.448529,1.000038741
1276.468963,1.000268087
1276.489397,1.000051853
1276.509826,0.999982477
1276.530266,1.000098581
1276.5507,1.000076648
1276.571135,0.99978436
1276.591569,0.999977828
1276.612003,1.00000751
1276.632437,1.000003934
1276.652871,0.999926213
1276.673306,0.99994171
1276.69374,1.000014304
1276.714174,1.000068542
1276.734609,0.999894624
1276.755043,0.999915366
1276.775477,1.000041125
1276.795911,0.999933246
1276.816346,0.999935869
1276.83678,1.000087853
1276.857214,0.999797175
1276.877649,1.000015973
1276.898083,1.000032185
1276.918517,0.999971868
1276.938951,0.999884968
1276.959386,0.999969484
1276.97982,0.999873823
1277.000254,0.999990464
1277.020688,1.000047204
1277.041123,1.000020145
1277.061557,1.000102276
1277.081991,0.999969722
1277.102426,1.00004482
1277.12286,0.999988676
1277.143294,1.0003082
1277.163728,0.999868519
1277.184163,0.999970318
1277.204597,0.999935094
1277.225031,0.999997258
1277.245465,1.000133745
1277.2659,0.999981047
1277.286334,0.999974371
1277.306768,1.000191438
1277.327202,1.000185717
1277.347637,0.999968769
1277.368071,0.999952081
1277.388505,0.999970318
1277.40894,0.999927525
1277.429374,1.00002551
1277.449808,1.000077005
1277.470242,1.000046847
1277.490676,1.000116701
1277.511111,1.000063178
1277.531545,1.000217546
1277.551979,0.999894863
1277.572414,1.00010335
1277.592848,1.000250089
1277.613282,0.999885386
1277.633716,1.000083323
1277.654151,0.999752056
1277.674585,0.999766241
1277.695019,1.000035165
1277.715453,1.000145548
1277.735888,0.999986172
1277.756322,1.000029324
1277.776756,0.999901717
1277.797191,1.000074979
1277.817625,1.00006592
1277.838059,1.000029086
1277.858493,1.000010848
1277.878928,1.000050304
1277.899362,0.999801346
1277.919796,1.00005841
1277.94023,1.00009453
1277.960665,0.999915066
1277.981099,1.000016212
1278.001533,1.00003457
1278.021967,0.999834363
1278.042402,0.999768739
1278.062836,0.999985695
1278.08327,1.000065922
1278.103704,0.999975145
1278.124139,0.999984026
1278.144573,1.000090836
1278.165007,0.999968768
1278.185442,0.999930264
1278.205876,0.999915482
1278.22631,0.999962271
1278.246744,0.999833645
1278.267179,0.999948979
1278.287613,0.999943614
1278.308047,0.999921799
1278.328481,0.999939203
1278.348915,1.000064611
1278.36935,1.000129342
1278.389784,0.999970138
1278.410218,1.000118375
1278.430653,0.999950886
1278.451087,1.000225069
1278.491955,0.999971866
1278.51239,0.999996304
1278.532824,1.000242355
1278.553258,1.000104548
1278.573692,0.999913632
1278.594127,1.0000211
1278.614561,1.000101865
1278.634995,0.999919711
1278.655429,1.00018132
1278.675864,0.99992752
1278.696298,1.000190202
1278.716732,1.000004768
1278.737166,0.999927459
1278.798469,0.999987423
1278.818903,0.999922214
1278.859772,0.999962746
1278.880206,0.99999547
1278.90064,0.999881264
1278.921075,0.999904153
1278.941509,0.999912676
1278.961943,0.999994993
1278.982378,1.000007034
1279.002812,1.000009299
1279.023246,1.00013185
1279.04368,1.000000238
1279.084549,1.000081482
1279.104983,1.000058653
1279.125417,0.999983429
1279.166286,1.000124339
1279.18672,0.999998927
1279.207154,1.00001055
1279.227589,1.000022114
1279.248023,0.999801331
1279.268457,1.000042679
1279.288891,1.000048043
1279.309325,0.999927876
1279.32976,0.999915358
1279.350194,1.000068787
1279.370628,0.999909218
1279.411497,0.999845498
1279.431931,1.000006259
1279.452365,1.000005663
1279.4728,1.00011403
1279.493234,0.999901051
1279.513668,0.999915833
1279.534102,0.999994874
1279.554537,0.99986159
1279.574971,1.000087922
1279.595405,1.000338664
1279.615839,1.000065092
1279.636274,1.000005842
1279.656708,0.999936934
1279.677142,0.999959526
1279.697576,1.000010908
1279.71801,1.000080888
1279.738445,0.999973594
1279.758879,0.999895626
1279.779313,0.999988198
1279.799747,1.000186989
1279.820182,1.000105744
1279.840616,1.000089232
1279.86105,1.00000614
1279.881485,1.00000757
1279.901919,0.999912735
1279.922353,0.999910232
1279.942787,0.999952613
1279.963221,1.000041665
1279.983656,0.99992275
1280.00409,1.000121181
1280.024524,1.000097755
1280.044958,1.000122135
1280.065393,1.00001055
1280.085827,1.000067177
1280.106261,1.000074329
1280.126695,0.999938724
1280.14713,0.999934135
1280.167564,0.999811584
1280.187998,0.999983549
1280.208432,1.000044228
1280.228867,1.000003398
1280.249301,0.99982446
1280.269735,0.999915061
1280.290169,1.000033856
1280.310604,0.999911366
