time,intensity_800,intensity_1200,intensity_1400
22.2,0.75,5.021875,4.234375
22.24,1.428125,3.8375,2.8125
22.28,2.43125,1.05625,3.28125
22.32,5.971875,1.5,3.75
22.36,3.1375,2.75,2.75
22.4,0.85625,2.375,2.75
22.44,0.75,2.25,2.625
22.48,1.125,2.375,1.875
22.52,0.375,2.5,3.5
22.56,0.625,2.375,2.625
22.6,0.75,2.25,1.875
22.64,1,2,2.875
22.68,0.75,2,3.75
22.72,0.875,3.25,3.625
22.76,0.375,2.625,2.125
22.8,0.625,2.5,2.375
22.84,0.875,1.875,3
22.88,0.375,2.5,2.25
22.92,0.875,2.375,3.875
22.96,0.375,2.75,2.25
23,0.875,2.375,1.75
23.04,1.125,1.625,2.875
23.08,0.75,2.25,2.5
23.12,0.375,2,2.875
23.16,1.125,2.625,3
23.2,0.5,2.625,2.875
23.24,0.5,1.75,2.75
23.28,0.875,2.25,3.375
23.32,0.625,2.25,3.125
23.36,0.75,2.528125,3.015625
23.4,0.625,3.1875,4.1875
23.44,1,4.790625,6.328125
23.48,0.428125,3.615625,3.578125
23.52,1.8125,2.265625,3.953125
23.56,7.090625,2.75,2.625
23.6,3.690625,2.375,2.625
23.64,0.640625,1.5,3.125
23.68,0.625,2.875,3.375
23.72,0.5,2.625,3
23.76,1.375,2.25,3.625
23.8,1,2.375,2.625
23.84,1.5,2.5,2.625
23.88,1.375,2.375,2.25
23.92,0.875,2.375,3.375
23.96,1.625,1.625,3.5
24,0.5,2,3
24.04,1.125,2.875,3.5
24.08,0.625,2.5,3.125
24.12,1.5,2.875,2.75
24.16,1.25,2.125,3
24.2,0.5,1.75,2.25
24.24,0.25,2.375,2.875
24.28,0.875,2.625,1.875
24.32,1,2.375,2.75
24.36,0.5,1.75,1.625
24.4,0.25,1.75,2.75
24.44,0.875,2.625,4
24.48,0.375,2.125,3.375
24.52,0.5,1.875,3.25
24.56,0.5,2.25,3.25
24.6,0.5,3.334375,2.671875
24.64,0.625,2.690625,3.578125
24.68,0.125,4.728125,6.015625
24.72,1.034375,4.425,3.25
24.76,2.415625,1.66875,3.21875
24.8,5.778125,2.375,2.5
24.84,4.025,2.75,1.625
24.88,1.31875,2.25,3.75
24.92,0.625,2.5,2.75
24.96,0.5,1.75,2.5
25,0.75,2.375,3.5
25.04,0.75,2.875,2.375
25.08,0.5,2.375,2.875
25.12,0.5,3.125,2.25
25.16,0.625,2.125,2.125
25.2,0.5,1.625,2.875
25.24,1,2.75,2.375
25.28,1.25,2.5,2.875
25.32,0.5,2.75,2.125
25.36,0.5,2.5,3.75
25.4,0.5,1.875,3.375
25.44,1.125,1.75,2.125
25.48,0.5,3.625,3.75
25.52,0.875,3.25,2.75
25.56,0.625,2.625,1.375
25.6,1,3,2.25
25.64,1.125,3,2.625
25.68,0.625,2.5,1.875
25.72,1,2.5,2.5
25.76,0.375,2.375,2
25.8,0.625,3.625,2.25
25.84,0.375,2.375,3.5
25.88,1.125,3.521875,3.484375
25.92,0.375,4.390625,4.578125
25.96,0.375,4.421875,3.859375
26,1.846875,3.196875,2.734375
26.04,5.390625,3,1.75
26.08,3.421875,3,3.125
26.12,0.746875,2.75,2
26.16,0.625,1.75,2.375
26.2,0.75,3,2.5
26.24,0.75,1.75,2.75
26.28,0.875,2.125,3
26.32,0.875,2,2.75
26.36,1,2.5,3.375
26.4,0.75,2.625,3.5
26.44,0.625,1.875,3.5
26.48,0.5,2.75,3.625
26.52,1.375,2,1.75
26.56,0.875,2.375,3.25
26.6,0.5,1.875,3.25
26.64,1.25,1.25,2.75
26.68,1,2.5,4
26.72,0.75,2.75,3.375
26.76,0.625,2.25,2.5
26.8,0.625,2.75,3.125
26.84,0.5,1.625,2.75
26.88,0.625,2.625,3.25
26.92,0.75,2.625,4
26.96,0.375,3,2.25
27,0.75,1.25,2.125
27.04,0.875,2,2.25
27.08,0.5,2.375,3.5
27.12,0.25,2.00625,2.65625
27.16,1,6.090625,3.953125
27.2,0.75,3.6125,5.0625
27.24,1.45625,3.4375,3.1875
27.28,5.865625,1.75,1.875
27.32,4.8375,0.875,2.375
27.36,1.8125,2.875,3.125
27.4,0.625,1.375,2.625
27.44,1,1.625,3.25
27.48,0.75,2.5,2.5
27.52,0.375,3.625,2
27.56,0.875,2.875,2.5
27.6,0.375,2.125,0.875
27.64,0.75,2,2.375
27.68,0.875,2.5,3.875
27.72,0.5,1.875,1.875
27.76,0.75,3.125,3.25
27.8,2,2.75,2
27.84,1.5,3.5,2.5
27.88,1,1.5,2.25
27.92,0.5,1.625,3.125
27.96,0.75,2.875,3.875
28,0.625,3.125,2.625
28.04,0.875,3.375,2.75
28.08,0.75,1.75,3.625
28.12,0.75,2.875,3.25
28.16,0.75,2.375,3.75
28.2,1.125,2,3.375
28.24,0.875,2.5,3.125
28.28,0.875,1.75,3.375
28.32,0.625,2.75,2.375
28.36,0.875,2.196875,2.359375
28.4,0.5,5.04375,2.84375
28.44,0.75,4.18125,4.15625
28.48,1.746875,3.1875,2.0625
28.52,5.56875,1.5,3.125
28.56,4.73125,3,3.375
28.6,1.8125,2.875,1.875
28.64,1.125,2.875,3.125
28.68,0.875,1.5,2.875
28.72,1.375,2.125,2.25
28.76,0.75,1.25,1.75
28.8,0.75,3,2
28.84,1.125,2.75,2.875
28.88,1.5,2.625,3.375
28.92,0.875,1.625,2.5
28.96,0.875,3,3.125
29,0.875,1.875,2.25
29.04,1.25,2.5,2.375
29.08,0.625,1.875,3
29.12,0.75,2.25,2.75
29.16,0.875,1.5,3
29.2,0.125,2.125,2.875
29.24,1.125,1.625,2.375
29.28,0.875,3.125,1.875
29.32,0.875,1.5,3
29.36,0.875,2.375,3.875
29.4,0.25,2.75,2
29.44,0.75,2.25,3.125
29.48,1.375,2,3
29.52,0.625,2.125,3.125
29.56,0.875,2.125,2.375
29.6,0.875,2.503125,2.890625
29.64,0.375,3.925,3.5
29.68,1,4.74375,3.84375
29.72,1.103125,3.315625,2.578125
29.76,3.775,1.80625,2.90625
29.8,6.16875,2.375,2.75
29.84,2.415625,1.5,3
29.88,0.73125,1.625,2.5
29.92,0.25,3.125,3
29.96,0.625,2.125,3.625
30,0.75,2,2.625
30.04,0.375,2.625,2.5
30.08,1,2.375,2.875
30.12,1.125,3,3.375
30.16,0.875,2.5,3.125
30.2,0.625,2.75,2.625
30.24,0.75,1.875,2.125
30.28,0.375,2.5,2.375
30.32,0.25,2,2.125
30.36,0.375,2.625,2.625
30.4,1.5,3.125,2
30.44,1,1.875,3.5
30.48,0.75,2.625,2.625
30.52,1.5,1.625,2.875
30.56,0.75,1.625,2.5
30.6,0.875,2.125,2.125
30.64,1.875,2.5,2.75
30.68,0.75,1.875,3.375
30.72,0.625,2.625,3.25
30.76,0.625,1.75,3.375
30.8,0.625,1.5,2.5
30.84,0.375,3.015625,2.953125
30.88,1.375,4.525,4
30.92,1.125,5.10625,5.28125
30.96,2.015625,3.775,3.75
31,4.575,1.778125,1.515625
31.04,6.50625,2.653125,2.015625
31.08,2.7,1.25,3.625
31.12,1.053125,1.625,2.625
31.16,1.428125,2.5,3.875
31.2,0.75,2.375,2.625
31.24,0.25,3.5,2.5
31.28,0.625,3.125,1.875
31.32,1.125,2.5,3.125
31.36,0.125,2.125,3.5
31.4,0.375,2.5,2.375
31.44,0.5,2.625,2.25
31.48,0.25,2.125,3.125
31.52,0.125,2.625,2.125
31.56,0.875,2,2.625
31.6,0.625,3.125,1.75
31.64,1.125,2.375,2.125
31.68,0.75,2.125,3.375
31.72,0.75,3.25,2.875
31.76,0.625,3.375,2.375
31.8,0.5,3,2.875
31.84,1,1.375,2.375
31.88,0.625,3.125,3.125
31.92,0.625,2.75,2.125
31.96,0.625,2.125,2.75
32,0.875,3.75,2.25
32.04,1,3.125,3.5
32.08,0.5,2.959375,2.296875
32.12,0.75,2.975,3.375
32.16,0.625,4.465625,3.703125
32.2,0.784375,3.959375,5.046875
32.24,2.675,2.05625,3.03125
32.28,5.865625,2.875,2.375
32.32,2.784375,2.25,2.625
32.36,0.73125,2.75,4.125
32.4,0.875,3.125,2.25
32.44,0.875,2.5,3.125
32.48,0.5,2.125,3
32.52,0.625,1.5,3.75
32.56,0.875,2.125,3
32.6,0.625,2.875,2.5
32.64,0.5,1.875,3.25
32.68,0.75,1.75,3.375
32.72,0.5,2,2.75
32.76,0.5,1.75,3.125
32.8,0.625,2.375,4.125
32.84,0.875,2.75,4.125
32.88,0.875,2,2.875
32.92,1,2.25,3.125
32.96,1,1.5,2.625
33,0.625,4.25,3.375
33.04,0.75,2.25,3
33.08,0.625,2,2.5
33.12,1,2.625,2.75
33.16,0.5,2.5,2.375
33.2,1,3.25,2.375
33.24,0,2.75,2.125
33.28,1.125,2.375,3.875
