time,intensity_400,intensity_600,intensity_800
3.17,0,0.25,0.125
3.175,0.125,0,0.25
3.18,0,1.191625,0.25
3.185,0,13.104125,0
3.19,0,2.325,0.125
3.195,0.125,0.125,0.375
3.2,0,0.25,0.25
3.205,0,0.125,0.125
3.21,0.125,0,0.375
3.215,0.25,0,0.25
3.22,0.125,0.125,0.125
3.225,0,0.25,0.25
3.23,0,0.125,0.25
3.235,0.125,0,0.125
3.24,0.125,0,0
3.245,5.5,0,0.125
3.25,30.625,0.125,0
3.255,3,0,0.125
3.26,0,0,0.125
3.265,0,0,0.125
3.27,0,0.125,0.25
3.275,0.25,0,0.375
3.28,0.125,0.125,0.125
3.285,0,0,0.125
3.29,0.125,0,0.125
3.295,0,0,0
3.3,0,0.25,0
3.305,0,0,0
3.31,0.125,0.125,1.28275
3.315,0,0.125,10.927625
3.32,0,0.125,1.772375
3.325,0,0.125,0.375
3.33,0,0.25,0.25
3.335,0,0,0.375
3.34,0.125,0,0.25
3.345,0.125,0.1625,0.125
3.35,0.125,9.370875,0.5
3.355,0,6.516625,0
3.36,0,0.125,0
3.365,0,0.25,0
3.37,0,0,0
3.375,0,0.25,0
3.38,0,0,0.125
3.385,0,0.25,0
3.39,0.125,0,0
3.395,0,0.125,0.375
3.4,0,0.125,0.125
3.405,0,0.125,0.125
3.41,1.25,0,0.375
3.415,25.25,0.125,0
3.42,10.75,0.25,0
3.425,0,0,0.375
3.43,0,0.125,0.125
3.435,0,0,0
3.44,0,0,0
3.445,0.125,0.125,0.125
3.45,0.125,0.25,0
3.455,0,0,0.25
3.46,0,0.25,0
3.465,0,0.125,0.375
3.47,0,0.125,0.125
3.475,0.125,0.25,0.547875
3.48,0,0.5,6.3115
3.485,0.125,0.125,5.788
3.49,0,0,0.16825
3.495,0,0.25,0.125
3.5,0.125,0.25,0.25
3.505,0,0.125,0.25
3.51,0,0.125,0.5
3.515,0,4.1875,0
3.52,0,12.366625,0.5
3.525,0.125,0.758375,0
3.53,0.125,0.125,0.125
3.535,0,0,0
3.54,0,0,0
3.545,0,0.375,0
3.55,0.125,0.125,0.125
3.555,0.125,0,0.25
3.56,0,0,0.125
3.565,0.125,0.125,0.125
3.57,0,0.25,0
3.575,0.25,0.125,0
3.58,13.625,0.25,0.375
3.585,21.125,0,0
3.59,0.25,0.25,0
3.595,0,0,0.125
3.6,0.125,0.125,0.125
3.605,0.25,0.125,0
3.61,0.125,0,0.25
3.615,0.125,0.125,0.125
3.62,0.125,0.125,0.125
3.625,0,0,0.125
3.63,0,0.125,0.25
3.635,0,0.125,0.25
3.64,0,0,0.125
3.645,0,0.25,2.584375
3.65,0.125,0.25,10.072375
3.655,0,0.25,0.595875
3.66,0,0,0.25
3.665,0,0.125,0.25
3.67,0.125,0,0
3.675,0,0.25,0.375
3.68,0,1.3875,0.125
3.685,0,13.504125,0.125
3.69,0,2.345875,0.375
3.695,0.125,0.375,0.25
3.7,0,0.25,0
3.705,0.125,0.25,0
3.71,0,0.25,0.25
3.715,0.125,0.125,0
3.72,0,0.5,0.25
3.725,0.125,0.125,0.25
3.73,0,0.125,0.125
3.735,0.125,0.25,0.125
3.74,0,0.125,0
3.745,3.875,0.125,0.125
3.75,29.625,0,0
3.755,3.375,0,0.375
3.76,0,0,0.25
3.765,0,0.25,0
3.77,0,0.375,0.125
3.775,0.125,0.25,0.375
3.78,0,0.25,0.25
3.785,0,0.125,0.125
3.79,0,0.125,0.125
3.795,0,0,0.125
3.8,0,0.25,0.125
3.805,0,0.25,0
3.81,0,0,0.687
3.815,0.125,0,9.0255
3.82,0,0.125,2.68025
3.825,0.25,0,0.5
